id,name,description,cost,image,subcategory,availability,,,,,,
11,"VINORO CORTE BIANCO 0,75l-7%, вино игристое белое полусладкое. (Италия)","Винный игристый напиток, произведенный на основе отборочного вина разных сортов. Обладает элегантным, светлым желтым цветом и наполненным вкусом. Этому напитку присущ приятный, легкий, освежающий вкус. Аромат наполнен цветочно-фруктовыми нотками. Послевкусие долгое с фоновым привкусом фруктов и винограда. Хорошо сочетается с другими блюдами, пастой и пиццой.
VINORO CORTE BIANCO относится к линейке специальных сортов вин, которые создаются лично виноделами компании. Неповторимый насыщенный вкус, глубокий красный цвет и бархатный аромат не оставит равнодушными ценителей легких полусладких вин.",95,/alcohol/8-wine/VinoroCorteBianco.jpg,8,true,,,,,,
12,"VINORO LAMBRUSCO ROSSO 1,5l-8%, вино игристое красное полусладкое. (Италия)","Вино изготовлено из винограда сорта Ламбруско, глубокого гранатового цвета. Этому вину присущ приятный, легкий, освежающий ягодный вкус. Аромат наполнен цветочно-фруктовыми нотками.

Вино выполняет роль прекрасного аперитива, а также хорошо сочетается с различными закусками, пиццей и сырами.",170,/alcohol/8-wine/VinoroLambruscoRosso.jpg,8,true,,,,,,
13,"VINORO FRIZZANTE BIANCO 1,5l-8%, вино игристое белое полусладкое. (Италия)","Винный игристый напиток, произведенный на основе отборочного вина разных сортов. Обладает элегантным, золотистым цветом и наполненным вкусом. Этому напитку присущ приятный, легкий, освежающий вкус. Аромат наполнен цветочно-фруктовыми нотками. Послевкусие долгое с фоновым привкусом фруктов и винограда. Хорошо сочетается с другими блюдами, рыбой и сырами.",170,/alcohol/8-wine/VinoroFrizzanteBianco.jpg,8,true,,,,,,
14,Красное сухое вино Nero D’Avola «Terre Siciliane» 1.5л,"Красное сухое сицилийское вино из винограда сорта Неро Д'Aвола - обладает насыщенным вкусом с шелковистой текстурой и легкими фруктовыми нотками . Вино красно-рубинового цвета с выразительным виноградным ароматом , идеально сочетается с острыми и хорошо приправленными блюдами, такими как мясо на гриле, а также твердым изысканным сыром ",null,/alcohol/8-wine/NeroDAvola2015.jpg,8,true,,,,,,
15,"Вино Donna Francesca Merlot Veneto, кр/сух, 11%, 1,5л. (Италия)","Merlot Veneto Donna Francesca ― вино изготовлено из одноименного сорта красного винограда . Этот  благородный напиток выдерживают в специальных погребах и используют для этого деревянные бочки .

   Вино Мерлот рождаетса  на прекрасной земле Венето, столицей которой является Венеция, удивит вас своей сбалансированностью, мягкими танинами и невероятно фруктовым вкусом.

   Напиток относится к категории IGT(Indicazione Geografica Tipica). Это вина с географическим указанием. Их подвергают контролю с точки зрения урожайности, сортов винограда, используемой винификации и содержания алкоголя. 

Крепость 12%",150,/alcohol/8-wine/donnaFrancescaMerlotVenetoBLACK.jpg,8,true,,,,,,
16,"Вино Corteredi Rosso (Кортереди Росо), кр/сух, 11,5%, 1,5л. (Италия)","Считается самым популярным сортовым вином в Италии. Для его создания используется сорт Montepulciano. Обладает насыщено рубиновым цветом. Вино идеально сочетается с горячими мясными блюдами, сырами, рыбой и фруктовыми салатами.",160,/alcohol/8-wine/corterediVINOROSSO.jpg,8,true,,,,,,
17,"Вино игристое "" Lambrusco Quattro Valli "" 1,5л. (Италия)","Вино Lambrusco Quattro Vallii  - прекрасный вариант в качестве столового вина под мясную и сырную закуску, легкие салаты, десерты и фрукты. Идеальный вариант для семейных и дружеских застолий, благодаря выгодному объему 1.5 л по приемлемой цене.

Температура употребления - 13-15`C

Вкус у любого вина Quattro Valli очень легкий, в меру насыщенный, ему характерны: нежность, свежесть, умеренная сладость и приятное послевкусие. Аромат яркий, освежающий, изысканный, многогранный.
Quattro Valli – это эксклюзивное игристое вино, Родиной которого является Италия. Оно передает её романтизм и энергетику, порадует каждого совершенством вкуса!",150,/alcohol/8-wine/LAMBRUSCO-RossoDolce.jpg,8,true,,,,,,
18,"Вино Donna Francesca Merlo Veneto (Мерло), кр/сух, 12%, 1,5л. (Италия)","  Merlot Veneto Donna Francesca ― вино изготовлено из одноименного сорта красного винограда . Этот  благородный напиток выдерживают в специальных погребах и используют для этого деревянные бочки .

   Вино Мерлот рождаетса  на прекрасной земле Венето, столицей которой является Венеция, удивит вас своей сбалансированностью, мягкими танинами и невероятно фруктовым вкусом.

   Напиток относится к категории IGT(Indicazione Geografica Tipica). Это вина с географическим указанием. Их подвергают контролю с точки зрения урожайности, сортов винограда, используемой винификации и содержания алкоголя. 

Крепость 12%",160,/alcohol/8-wine/donnaFrancescaMerlotVeneto.jpg,8,true,,,,,,
19,"Вино Donna Francesca Pinot Grigio Veneto, бел/сух, 12%, 1,5л. (Италия )","Аромат - Стойкий, насыщенный. Ощущается запах инжира и спелых осенних яблок.

Вкус - Свежий, бархатистый. Имеет приятную, ненавязчивую горчинку с нотами свежих фруктов и миндальной нотой в послевкусии.

Гастрономические сочетания - Подают данное вино к морепродуктам, белому мясу. Также подойдет к рыбе испеченной на гриле.

Цвет - Приятный, светло-золотистый с мерцающими зелеными искрами.",160,/alcohol/8-wine/donnaFrancescaPinotGrigioVeneto.jpg,8,true,,,,,,
20,"Вино белое сухое Donna Francesсa Chardonnay Veneto 1,5л, Италия! Алкоголь 12%","Donna Francesca Chardonnay Veneto - белое сухое вино из винограда выращенного на участках недалеко от Венеции, в регионе Венето. Оно демонстрирует мягкий, элегантный вкус с шелковистой текстурой. Шардоне - один из самых популярных белых сортов винограда во всем мире. Это золотистое вино отличается свежим гармоничным вкусом и приятным фруктовым ароматом, оно идеально подходит для повседневного использования. Гастрономические сочетания - рекомендуется в сочетании с рыбными блюдами и морепродуктами, подается к белому мясу и сырам.",,/alcohol/8-wine/donnaFrancescaChardonnayVeneto.jpg,8,true,,,,,,
